,Date,Temperature,Max,Min,Mean
238,2015-08-26T16:00:00Z,23℃ / 18℃,23,18,20.5
239,2015-08-27T16:00:00Z,21℃ / 18℃,21,18,19.5
240,2015-08-28T16:00:00Z,24℃ / 17℃,24,17,20.5
241,2015-08-29T16:00:00Z,26℃ / 16℃,26,16,21.0
242,2015-08-30T16:00:00Z,27℃ / 17℃,27,17,22.0
243,2015-08-31T16:00:00Z,27℃ / 19℃,27,19,23.0
244,2015-09-01T16:00:00Z,26℃ / 19℃,26,19,22.5
245,2015-09-02T16:00:00Z,25℃ / 19℃,25,19,22.0
246,2015-09-03T16:00:00Z,26℃ / 20℃,26,20,23.0
247,2015-09-04T16:00:00Z,26℃ / 19℃,26,19,22.5
248,2015-09-05T16:00:00Z,24℃ / 19℃,24,19,21.5
249,2015-09-06T16:00:00Z,22℃ / 18℃,22,18,20.0
250,2015-09-07T16:00:00Z,24℃ / 19℃,24,19,21.5
251,2015-09-08T16:00:00Z,24℃ / 19℃,24,19,21.5
252,2015-09-09T16:00:00Z,26℃ / 20℃,26,20,23.0
253,2015-09-10T16:00:00Z,23℃ / 15℃,23,15,19.0
254,2015-09-11T16:00:00Z,19℃ / 15℃,19,15,17.0
255,2015-09-12T16:00:00Z,20℃ / 15℃,20,15,17.5
256,2015-09-13T16:00:00Z,22℃ / 15℃,22,15,18.5
257,2015-09-14T16:00:00Z,24℃ / 15℃,24,15,19.5
258,2015-09-15T16:00:00Z,24℃ / 16℃,24,16,20.0
259,2015-09-16T16:00:00Z,24℃ / 17℃,24,17,20.5
260,2015-09-17T16:00:00Z,23℃ / 18℃,23,18,20.5
261,2015-09-18T16:00:00Z,22℃ / 16℃,22,16,19.0
262,2015-09-19T16:00:00Z,19℃ / 16℃,19,16,17.5
263,2015-09-20T16:00:00Z,20℃ / 17℃,20,17,18.5
264,2015-09-21T16:00:00Z,22℃ / 17℃,22,17,19.5
265,2015-09-22T16:00:00Z,22℃ / 19℃,22,19,20.5
266,2015-09-23T16:00:00Z,24℃ / 16℃,24,16,20.0
267,2015-09-24T16:00:00Z,19℃ / 16℃,19,16,17.5
268,2015-09-25T16:00:00Z,20℃ / 17℃,20,17,18.5
269,2015-09-26T16:00:00Z,22℃ / 16℃,22,16,19.0
270,2015-09-27T16:00:00Z,23℃ / 18℃,23,18,20.5
271,2015-09-28T16:00:00Z,24℃ / 17℃,24,17,20.5
272,2015-09-29T16:00:00Z,25℃ / 14℃,25,14,19.5
273,2015-09-30T16:00:00Z,19℃ / 14℃,19,14,16.5
274,2015-10-01T16:00:00Z,22℃ / 16℃,22,16,19.0
275,2015-10-02T16:00:00Z,21℃ / 15℃,21,15,18.0
276,2015-10-03T16:00:00Z,21℃ / 14℃,21,14,17.5
277,2015-10-04T16:00:00Z,15℃ / 14℃,15,14,14.5
278,2015-10-05T16:00:00Z,18℃ / 15℃,18,15,16.5
279,2015-10-06T16:00:00Z,21℃ / 15℃,21,15,18.0
280,2015-10-07T16:00:00Z,18℃ / 13℃,18,13,15.5
281,2015-10-08T16:00:00Z,15℃ / 11℃,15,11,13.0
282,2015-10-09T16:00:00Z,15℃ / 11℃,15,11,13.0
283,2015-10-10T16:00:00Z,21℃ / 10℃,21,10,15.5
284,2015-10-11T16:00:00Z,21℃ / 12℃,21,12,16.5
285,2015-10-12T16:00:00Z,21℃ / 12℃,21,12,16.5
286,2015-10-13T16:00:00Z,22℃ / 12℃,22,12,17.0
287,2015-10-14T16:00:00Z,25℃ / 12℃,25,12,18.5
288,2015-10-15T16:00:00Z,24℃ / 15℃,24,15,19.5
289,2015-10-16T16:00:00Z,24℃ / 15℃,24,15,19.5
290,2015-10-17T16:00:00Z,21℃ / 15℃,21,15,18.0
291,2015-10-18T16:00:00Z,22℃ / 14℃,22,14,18.0
292,2015-10-19T16:00:00Z,24℃ / 13℃,24,13,18.5
293,2015-10-20T16:00:00Z,25℃ / 13℃,25,13,19.0
294,2015-10-21T16:00:00Z,24℃ / 14℃,24,14,19.0
295,2015-10-22T16:00:00Z,24℃ / 16℃,24,16,20.0
296,2015-10-23T16:00:00Z,22℃ / 16℃,22,16,19.0
297,2015-10-24T16:00:00Z,25℃ / 16℃,25,16,20.5
298,2015-10-25T16:00:00Z,23℃ / 13℃,23,13,18.0
299,2015-10-26T16:00:00Z,18℃ / 15℃,18,15,16.5
300,2015-10-27T16:00:00Z,21℃ / 14℃,21,14,17.5
301,2015-10-28T16:00:00Z,17℃ / 10℃,17,10,13.5
302,2015-10-29T16:00:00Z,13℃ / 9℃,13,9,11.0
303,2015-10-30T16:00:00Z,11℃ / 8℃,11,8,9.5
304,2015-10-31T16:00:00Z,13℃ / 9℃,13,9,11.0
305,2015-11-01T16:00:00Z,15℃ / 11℃,15,11,13.0
306,2015-11-02T16:00:00Z,17℃ / 12℃,17,12,14.5
307,2015-11-03T16:00:00Z,17℃ / 15℃,17,15,16.0
308,2015-11-04T16:00:00Z,21℃ / 17℃,21,17,19.0
309,2015-11-05T16:00:00Z,24℃ / 18℃,24,18,21.0
310,2015-11-06T16:00:00Z,25℃ / 16℃,25,16,20.5
311,2015-11-07T16:00:00Z,21℃ / 13℃,21,13,17.0
312,2015-11-08T16:00:00Z,18℃ / 12℃,18,12,15.0
313,2015-11-09T16:00:00Z,15℃ / 9℃,15,9,12.0
314,2015-11-10T16:00:00Z,12℃ / 7℃,12,7,9.5
315,2015-11-11T16:00:00Z,10℃ / 8℃,10,8,9.0
316,2015-11-12T16:00:00Z,15℃ / 10℃,15,10,12.5
317,2015-11-13T16:00:00Z,17℃ / 11℃,17,11,14.0
318,2015-11-14T16:00:00Z,18℃ / 13℃,18,13,15.5
319,2015-11-15T16:00:00Z,18℃ / 14℃,18,14,16.0
320,2015-11-16T16:00:00Z,20℃ / 11℃,20,11,15.5
321,2015-11-17T16:00:00Z,15℃ / 12℃,15,12,13.5
322,2015-11-18T16:00:00Z,17℃ / 11℃,17,11,14.0
323,2015-11-19T16:00:00Z,15℃ / 12℃,15,12,13.5
324,2015-11-20T16:00:00Z,20℃ / 14℃,20,14,17.0
325,2015-11-21T16:00:00Z,21℃ / 15℃,21,15,18.0
326,2015-11-22T16:00:00Z,20℃ / 11℃,20,11,15.5
327,2015-11-23T16:00:00Z,19℃ / 5℃,19,5,12.0
328,2015-11-24T16:00:00Z,10℃ / 4℃,10,4,7.0
329,2015-11-25T16:00:00Z,10℃ / 6℃,10,6,8.0
330,2015-11-26T16:00:00Z,12℃ / 6℃,12,6,9.0
331,2015-11-27T16:00:00Z,9℃ / 7℃,9,7,8.0
332,2015-11-28T16:00:00Z,12℃ / 10℃,12,10,11.0
333,2015-11-29T16:00:00Z,14℃ / 9℃,14,9,11.5
334,2015-11-30T16:00:00Z,13℃ / 6℃,13,6,9.5
335,2015-12-01T16:00:00Z,9℃ / 4℃,9,4,6.5
336,2015-12-02T16:00:00Z,7℃ / 3℃,7,3,5.0
337,2015-12-03T16:00:00Z,5℃ / 3℃,5,3,4.0
338,2015-12-04T16:00:00Z,8℃ / 3℃,8,3,5.5
339,2015-12-05T16:00:00Z,11℃ / 2℃,11,2,6.5
340,2015-12-06T16:00:00Z,13℃ / 3℃,13,3,8.0
341,2015-12-07T16:00:00Z,12℃ / 5℃,12,5,8.5
