id,work,address,salary,request,nation,descripe,city,salary_low,salary_high,diploma,class,class_name,class_name_english,diploma_english,work_english
29,iOS,广州-琶洲,8k-13k,经验1-3年 / 不限,"移动互联网,其他 / 成长型(A轮)","“自我实现,旅游,生日派,下午零食”",广州,8,13, 不限, 成长型(A轮), 成长型,CZX,QT,ios
30,iOS,东莞-东莞市…,6k-8k,经验1-3年 / 大专,移动互联网 / 成长型(不需要融资),“双休，社保、年终奖，旅游，重技术人才！”,东莞,6,8, 大专, 成长型(不需要融资), 成长型,CZX,DZ,ios
31,iOS,长沙,8k-15k,经验3-5年 / 本科,"移动互联网,教育 / 上市公司",“互联网创业性质团队，年轻富有激情”,长沙,8,15, 本科, 上市公司, 上市公司,SHGS,BK,ios
32,iOS,成都-高新区,12k-20k,经验3-5年 / 本科,电子商务 / 上市公司,“五险一金，带薪年假，岗位晋升”,成都,12,20, 本科, 上市公司, 上市公司,SHGS,BK,ios
33,iOS,西安-高新技…,8k-15k,经验1-3年 / 硕士,"移动互联网,数据服务 / 成熟型(C轮)",“周末双休 五险一金 年底双薪 发展空间大”,西安,8,15, 硕士, 成熟型(C轮), 成熟型,CSX,SS,ios
34,iOS,上海-漕河泾,10k-15k,经验3-5年 / 本科,文化娱乐 / 成熟型(不需要融资),“公司平台 优秀团队 绩效工资”,上海,10,15, 本科, 成熟型(不需要融资), 成熟型,CSX,BK,ios
35,iOS,广州,15k-25k,经验3-5年 / 本科,教育 / 初创型(不需要融资),“让创新人才成为主流”,广州,15,25, 本科, 初创型(不需要融资), 初创型,CCX,BK,ios
36,iOS,上海-万源城,12k-18k,经验3-5年 / 本科,"金融,电子商务 / 成熟型(不需要融资)",“五险一金、带薪年假、法定假日、餐补”,上海,12,18, 本科, 成熟型(不需要融资), 成熟型,CSX,BK,ios
37,iOS,成都-高新区,8k-15k,经验3-5年 / 本科,电子商务 / 上市公司,“团队开放，凭能力拿高薪，欢迎王者归来！”,成都,8,15, 本科, 上市公司, 上市公司,SHGS,BK,ios
38,iOS,杭州,15k-20k,经验1-3年 / 本科,硬件 / 成长型(A轮),“优秀团队、杭州研发中心早期核心”,杭州,15,20, 本科, 成长型(A轮), 成长型,CZX,BK,ios
39,iOS,杭州-余杭区,10k-15k,经验1-3年 / 本科,"移动互联网,数据服务 / 成熟型(C轮)",“五险一金 补充商业保险 年度旅游 工会活动”,杭州,10,15, 本科, 成熟型(C轮), 成熟型,CSX,BK,ios
40,iOS,珠海-吉大,10k-20k,经验3-5年 / 大专,"移动互联网,金融 / 成熟型(不需要融资)",“薪资优待 福利完善”,珠海,10,20, 大专, 成熟型(不需要融资), 成熟型,CSX,DZ,ios
41,iOS,武汉-西北湖,12k-18k,经验5-10年 / 本科,"移动互联网,数据服务 / 初创型(未融资)",“不打卡考勤、员工持股计划、过节福利、14薪”,武汉,12,18, 本科, 初创型(未融资), 初创型,CCX,BK,ios
42,iOS,北京-大山子,20k-35k,经验3-5年 / 本科,"移动互联网,O2O / 成熟型(D轮及以上)",“美团&点评美食频道”,北京,20,35, 本科, 成熟型(D轮及以上), 成熟型,CSX,BK,ios
43,iOS,上海,10k-20k,经验5-10年 / 本科,移动互联网 / 成熟型(C轮),“带薪年假 年底奖金 五险一金 弹性工作时”,上海,10,20, 本科, 成熟型(C轮), 成熟型,CSX,BK,ios
44,iOS,杭州-余杭区,15k-25k,经验3-5年 / 本科,"移动互联网,O2O / 成熟型(C轮)",“高期权，O2O挑战大，公司团队酷，妹纸多”,杭州,15,25, 本科, 成熟型(C轮), 成熟型,CSX,BK,ios
45,iOS,杭州-仓前,10k-20k,经验5-10年 / 本科,移动互联网 / 成长型(B轮),“美资企业 钱景好 产品靠谱 微医投资”,杭州,10,20, 本科, 成长型(B轮), 成长型,CZX,BK,ios
46,iOS,成都-高新区,9k-14k,经验3-5年 / 不限,"移动互联网,教育 / 成长型(B轮)",“五险一金，年终奖”,成都,9,14, 不限, 成长型(B轮), 成长型,CZX,QT,ios
47,iOS,杭州-东新路,20k-25k,经验3-5年 / 本科,移动互联网 / 初创型(天使轮),“期权 半年调薪制 成长空间大 氛围轻松”,杭州,20,25, 本科, 初创型(天使轮), 初创型,CCX,BK,ios
48,iOS（3年以上）,北京-新街口,20k-35k,经验3-5年 / 本科,"移动互联网,企业服务 / 上市公司",“上市公司，持续股权激励，技术极客云集！”,北京,20,35, 本科, 上市公司, 上市公司,SHGS,BK,ios
49,iOS（3年以上）,杭州-长河,10k以上,经验3-5年 / 本科,"移动互联网,数据服务 / 成熟型(C轮)",“五险一金 补充商业保险 年度旅游 工会活动”,杭州,10,0, 本科, 成熟型(C轮), 成熟型,CSX,BK,ios
50,iOS（3年以上）,上海-漕宝路,12k-24k,经验3-5年 / 本科,"移动互联网,金融 / 成长型(B轮)",“无限发挥空间，快来跟牛逼的团队一起战斗！”,上海,12,24, 本科, 成长型(B轮), 成长型,CZX,BK,ios
51,iOS（3年以上）,北京,25k-40k,经验5-10年 / 本科,"移动互联网,O2O / 成熟型(D轮及以上)",“期权”,北京,25,40, 本科, 成熟型(D轮及以上), 成熟型,CSX,BK,ios
52,iOS（3年以上）,佛山-陈村,10k-15k,经验1-3年 / 大专,移动互联网 / 上市公司,“六险一金，带薪年假，年终奖，不定期旅游”,佛山,10,15, 大专, 上市公司, 上市公司,SHGS,DZ,ios
53,iOS（3年以上）,杭州-长河,10k-15k,经验3-5年 / 本科,"移动互联网,电子商务 / 成熟型(C轮)",“拟上市公司”,杭州,10,15, 本科, 成熟型(C轮), 成熟型,CSX,BK,ios
54,iOS（3年以上）,杭州-滨江区,12k-24k,经验3-5年 / 本科,"社交网络,移动互联网 / 初创型(天使轮)",“老板open 五险一金 双休 不打卡 期权”,杭州,12,24, 本科, 初创型(天使轮), 初创型,CCX,BK,ios
55,iOS（3年以上）,上海-汶水路,25k以下,经验3-5年 / 大专,游戏 / 成长型(B轮),“五险一金，补充医疗，餐费补贴”,上海,25,0, 大专, 成长型(B轮), 成长型,CZX,DZ,ios
56,iOS（3年以上）,北京-和平里,25k-35k,经验3-5年 / 大专,"移动互联网,金融 / 成长型(B轮)",“弹性工作、五险一金全额、福利好”,北京,25,35, 大专, 成长型(B轮), 成长型,CZX,DZ,ios
57,iOS（3年以上）,杭州-江南,15k-25k,经验3-5年 / 本科,"移动互联网,O2O / 成长型(不需要融资)",“行业新颖，技术多元化”,杭州,15,25, 本科, 成长型(不需要融资), 成长型,CZX,BK,ios
58,iOS（3年以上）,秦皇岛-海港…,6k-8k,经验1-3年 / 本科,"移动互联网,企业服务 / 初创型(未融资)",“人性化管理，技术牛人多，提升快”,秦皇岛,6,8, 本科, 初创型(未融资), 初创型,CCX,BK,ios
59,iOS（3年以上）,厦门-前埔医…,10k-18k,经验3-5年 / 本科,"O2O ,生活服务 / 成熟型(D轮及以上)",“和优秀的工程师一起工作，扁平化管理”,厦门,10,18, 本科, 成熟型(D轮及以上), 成熟型,CSX,BK,ios
60,iOS（3年以上）,杭州-西湖,10k-20k,经验3-5年 / 本科,"电子商务,广告营销 / 成长型(B轮)",“技术氛围好 五险一金 平台发展快”,杭州,10,20, 本科, 成长型(B轮), 成长型,CZX,BK,ios
61,iOS（3年以上）,长沙-银盆岭,8k-12k,经验不限 / 不限,电子商务 / 上市公司,“五险一金、绩效奖金、带薪假期、绩效奖金”,长沙,8,12, 不限, 上市公司, 上市公司,SHGS,QT,ios
62,iOS（3年以上）,济南-高新区,4k-6k,经验1-3年 / 大专,"金融,电子商务 / 成长型(B轮)","“水果不停,免费班车,员工生日会,绩效奖金”",济南,4,6, 大专, 成长型(B轮), 成长型,CZX,DZ,ios
63,iOS,杭州-长河,15k-25k,经验3-5年 / 大专,"移动互联网,数据服务 / 成熟型(C轮)",“五险一金 补充商业保险 年度旅游 工会活动”,杭州,15,25, 大专, 成熟型(C轮), 成熟型,CSX,DZ,ios
64,iOS,福州,6k-12k,经验3-5年 / 本科,"移动互联网,数据服务 / 成熟型(不需要融资)",“福利待遇好，发展前景好”,福州,6,12, 本科, 成熟型(不需要融资), 成熟型,CSX,BK,ios
65,iOS,珠海-香洲区,10k-18k,经验3-5年 / 本科,移动互联网 / 成长型(A轮),“股权激励、机会与舞台、完善的福利”,珠海,10,18, 本科, 成长型(A轮), 成长型,CZX,BK,ios
66,iOS,北京-大屯,20k-30k,经验3-5年 / 不限,"移动互联网,文化娱乐 / 成长型(A轮)",“弹性工作，期权福利，14-16薪”,北京,20,30, 不限, 成长型(A轮), 成长型,CZX,QT,ios
67,iOS,上海-古北,10k-15k,经验3-5年 / 大专,"电子商务,移动互联网 / 成长型(不需要融资)",“扁平化管理 领导好 带薪病假 弹性工作制”,上海,10,15, 大专, 成长型(不需要融资), 成长型,CZX,DZ,ios
68,iOS,成都,20k-30k,经验5-10年 / 本科,"移动互联网,电子商务 / 成长型(不需要融资)",“五险一金，项目奖金，双休”,成都,20,30, 本科, 成长型(不需要融资), 成长型,CZX,BK,ios
69,iOS,杭州-余杭区,15k-30k,经验3-5年 / 不限,"移动互联网,企业服务 / 上市公司",“新三板上市公司 项目爆发期 帅哥美女多”,杭州,15,30, 不限, 上市公司, 上市公司,SHGS,QT,ios
70,iOS,杭州-高新文…,10k-20k,经验3-5年 / 本科,"移动互联网,金融 / 成长型(B轮)","“入职期权,带薪年假,弹性工作,年底多薪”",杭州,10,20, 本科, 成长型(B轮), 成长型,CZX,BK,ios
71,iOS,杭州,15k-20k,经验3-5年 / 本科,"移动互联网,医疗健康 / 上市公司",“上市公司内部创业项目”,杭州,15,20, 本科, 上市公司, 上市公司,SHGS,BK,ios
72,iOS,济南-二环南…,8k-15k,经验1-3年 / 不限,"移动互联网,生活服务 / 初创型(天使轮)",“不打卡 双休 五险一金 饮料零食福利”,济南,8,15, 不限, 初创型(天使轮), 初创型,CCX,QT,ios
73,iOS,武汉-关山,9k-18k,经验3-5年 / 本科,金融 / 初创型(未融资),“五险一金 绩效奖金 半年奖 年终奖 年度旅游”,武汉,9,18, 本科, 初创型(未融资), 初创型,CCX,BK,ios
74,iOS,杭州-江南,8k-15k,经验1-3年 / 大专,"信息安全 ,数据服务 / 成熟型(不需要融资)",“五险一金 带薪年假 定期体检 员工旅游”,杭州,8,15, 大专, 成熟型(不需要融资), 成熟型,CSX,DZ,ios
75,iOS,厦门-思明区,10k-15k,经验1-3年 / 本科,"移动互联网,社交网络 / 初创型(天使轮)",“各种福利您想得到我们都满足...”,厦门,10,15, 本科, 初创型(天使轮), 初创型,CCX,BK,ios
76,iOS,珠海-香洲区,6k-10k,经验1-3年 / 本科,"移动互联网,游戏 / 初创型(天使轮)",“五险一金 期权 环境好 提供午餐”,珠海,6,10, 本科, 初创型(天使轮), 初创型,CCX,BK,ios
77,iOS,北京-新街口,20k-35k,经验3-5年 / 本科,"移动互联网,企业服务 / 上市公司",“上市公司，持续股权激励，重视员工关怀”,北京,20,35, 本科, 上市公司, 上市公司,SHGS,BK,ios
78,iOS,上海-闸北公…,15k-30k,经验3-5年 / 不限,"移动互联网,电子商务 / 上市公司",“上市公司 待遇优厚 公司氛围好”,上海,15,30, 不限, 上市公司, 上市公司,SHGS,QT,ios
79,iOS,上海-东方路,18k-35k,经验3-5年 / 本科,移动互联网 / 成熟型(D轮及以上),“发展前景优，工作氛围轻松”,上海,18,35, 本科, 成熟型(D轮及以上), 成熟型,CSX,BK,ios
80,iOS,上海-瑞金宾…,10k-15k,经验3-5年 / 不限,"移动互联网,教育 / 成长型(A轮)","“市中心办公,气氛融洽”",上海,10,15, 不限, 成长型(A轮), 成长型,CZX,QT,ios
81,iOS,杭州-余杭区,10k-20k,经验3-5年 / 大专,"移动互联网,其他 / 成长型(A轮)",“五险一金 福利齐全 股票期权 发展前景可观”,杭州,10,20, 大专, 成长型(A轮), 成长型,CZX,DZ,ios
82,iOS,上海-南外滩,13k-20k,经验3-5年 / 本科,"数据服务,文化娱乐 / 成长型(B轮)",“逗逼团队+超棒氛围”,上海,13,20, 本科, 成长型(B轮), 成长型,CZX,BK,ios
83,iOS,南京-玄武区,12k-22k,经验3-5年 / 本科,"电子商务,旅游 / 上市公司",“五险一金 弹性工作 加班补助 班车 餐补”,南京,12,22, 本科, 上市公司, 上市公司,SHGS,BK,ios
84,iOS,唐山-路北区,8k-15k,经验3-5年 / 大专,"移动互联网,医疗健康 / 上市公司",“五险一金 双休 法定假 年终奖 体检 旅游”,唐山,8,15, 大专, 上市公司, 上市公司,SHGS,DZ,ios
85,iOS,苏州-独墅湖,10k-20k,经验3-5年 / 本科,"移动互联网,企业服务 / 成长型(A轮)","“发展前景好,管理扁平化,福利待遇优”",苏州,10,20, 本科, 成长型(A轮), 成长型,CZX,BK,ios
86,iOS,杭州-文三路,8k-16k,经验1-3年 / 本科,移动互联网 / 成长型(不需要融资),“丰厚薪酬、弹性工作、共享公司金融福利薪酬”,杭州,8,16, 本科, 成长型(不需要融资), 成长型,CZX,BK,ios
87,iOS,南昌-东湖区,10k-18k,经验3-5年 / 本科,移动互联网 / 成长型(A轮),"“IOS,移动开发,手机端开发,程序员”",南昌,10,18, 本科, 成长型(A轮), 成长型,CZX,BK,ios
88,iOS,深圳-蛇口,16k-32k,经验3-5年 / 本科,"移动互联网,教育 / 成长型(A轮)",“产品牛，大舞台，双薪加奖金”,深圳,16,32, 本科, 成长型(A轮), 成长型,CZX,BK,ios
89,iOS,成都,8k-15k,经验3-5年 / 本科,"移动互联网,教育 / 初创型(未融资)",“高薪，极大发展空间”,成都,8,15, 本科, 初创型(未融资), 初创型,CCX,BK,ios
90,iOS,武汉-武珞路,2k-4k,经验不限 / 本科,电子商务 / 成长型(B轮),“只接受培养大三实习生”,武汉,2,4, 本科, 成长型(B轮), 成长型,CZX,BK,ios
91,iOS,北京-广渠门,15k-30k,经验3-5年 / 本科,O2O / 成熟型(不需要融资),“14薪，免费水果咖啡，各种补助”,北京,15,30, 本科, 成熟型(不需要融资), 成熟型,CSX,BK,ios
92,高级iOS,北京-西城区,20k-35k,经验3-5年 / 本科,"移动互联网,企业服务 / 上市公司",“上市公司，极客汇集，持续的股权激励政策！”,北京,20,35, 本科, 上市公司, 上市公司,SHGS,BK,ios
93,高级iOS,上海-漕宝路,10k-20k,经验3-5年 / 大专,金融 / 成熟型(不需要融资),“十四薪、年度旅游、健康体检、节日福利”,上海,10,20, 大专, 成熟型(不需要融资), 成熟型,CSX,DZ,ios
94,高级iOS,佛山-顺德区,12k-16k,经验3-5年 / 大专,"移动互联网,招聘 / 上市公司",“六险一金 年终奖 工作氛围好”,佛山,12,16, 大专, 上市公司, 上市公司,SHGS,DZ,ios
95,高级iOS,南宁-兴宁区,10k-18k,经验3-5年 / 本科,移动互联网 / 成长型(A轮),"“ios,移动开发,程序员,手机端开发”",南宁,10,18, 本科, 成长型(A轮), 成长型,CZX,BK,ios
96,高级iOS,杭州-高新文…,20k-25k,经验5-10年 / 大专,"移动互联网,医疗健康 / 初创型(未融资)",“绩效奖金、晋升空间、领导好”,杭州,20,25, 大专, 初创型(未融资), 初创型,CCX,DZ,ios
97,高级iOS,宁波-江东区,6k-10k,经验1-3年 / 本科,数据服务 / 初创型(未融资),“发展前景好，工作弹性”,宁波,6,10, 本科, 初创型(未融资), 初创型,CCX,BK,ios
98,高级iOS,北京-京广桥,20k-40k,经验3-5年 / 本科,"移动互联网,文化娱乐 / 成熟型(C轮)",“2016最黑马的社交应用、最值钱的股权激励”,北京,20,40, 本科, 成熟型(C轮), 成熟型,CSX,BK,ios
99,高级iOS,杭州-四季青,15k-25k,经验3-5年 / 大专,"移动互联网,招聘 / 初创型(天使轮)","“潜力大,福利好,领导好,同事友好”",杭州,15,25, 大专, 初创型(天使轮), 初创型,CCX,DZ,ios
100,高级iOS,北京-望京,25k-40k,经验3-5年 / 本科,"企业服务,数据服务 / 成长型(A轮)",“与硅谷和国内顶尖的牛人共事”,北京,25,40, 本科, 成长型(A轮), 成长型,CZX,BK,ios
101,高级iOS,杭州,10k-20k,经验不限 / 大专,"移动互联网,电子商务 / 成长型(A轮)",“双休 期权 带薪年假 加班补助 节日福利”,杭州,10,20, 大专, 成长型(A轮), 成长型,CZX,DZ,ios
102,高级iOS,南京-玄武区,10k-19k,经验3-5年 / 本科,"电子商务,旅游 / 上市公司",“五险一金，免费班车，年终奖，餐饮补贴”,南京,10,19, 本科, 上市公司, 上市公司,SHGS,BK,ios
103,高级iOS,成都-石羊,15k-25k,经验5-10年 / 本科,"移动互联网,电子商务 / 成熟型(C轮)",“新团队，成长快，机会多”,成都,15,25, 本科, 成熟型(C轮), 成熟型,CSX,BK,ios
104,高级iOS,杭州,15k-30k,经验3-5年 / 本科,"移动互联网,电子商务 / 成长型(B轮)",“影响上亿用户的产品”,杭州,15,30, 本科, 成长型(B轮), 成长型,CZX,BK,ios
105,高级iOS,西安-高新技…,8k-16k,经验3-5年 / 本科,"企业服务,信息安全 / 成熟型(C轮)",“移动端开发”,西安,8,16, 本科, 成熟型(C轮), 成熟型,CSX,BK,ios
106,高级iOS,深圳-科技园,15k-25k,经验3-5年 / 本科,"移动互联网,社交网络 / 成长型(B轮)","“核心岗位,住房补贴,半年调薪”",深圳,15,25, 本科, 成长型(B轮), 成长型,CZX,BK,ios
107,iOS开发工程师,北京-西城区,20k-35k,经验3-5年 / 本科,"移动互联网,企业服务 / 上市公司",“上市公司，极牛汇集，持续的股权激励政策！”,北京,20,35, 本科, 上市公司, 上市公司,SHGS,BK,ios
108,iOS开发工程师,珠海-吉大,15k-30k,经验不限 / 大专,移动互联网 / 上市公司,"“年底奖金,团建旅游,免费三餐,补充医疗”",珠海,15,30, 大专, 上市公司, 上市公司,SHGS,DZ,ios
109,iOS开发工程师,上海-音乐学…,15k-25k,经验5-10年 / 大专,"移动互联网,电子商务 / 成长型(不需要融资)","“团队强,交通方便”",上海,15,25, 大专, 成长型(不需要融资), 成长型,CZX,DZ,ios
110,iOS开发工程师,北京,20k-30k,经验5-10年 / 本科,"企业服务,数据服务 / 成长型(B轮)",“团队强悍，待遇丰厚”,北京,20,30, 本科, 成长型(B轮), 成长型,CZX,BK,ios
111,iOS开发工程师,成都-府青路,8k-15k,经验1-3年 / 本科,教育 / 成长型(B轮),“弹性工作制 发展空间大 双休 五险一金”,成都,8,15, 本科, 成长型(B轮), 成长型,CZX,BK,ios
112,iOS开发工程师,厦门-软件园,15k-25k,经验5-10年 / 大专,旅游 / 成长型(不需要融资),“成长空间，高薪待遇”,厦门,15,25, 大专, 成长型(不需要融资), 成长型,CZX,DZ,ios
113,iOS开发工程师,长春-高新开…,4k-6k,经验1-3年 / 不限,移动互联网 / 上市公司,“发展空间大”,长春,4,6, 不限, 上市公司, 上市公司,SHGS,QT,ios
114,iOS开发工程师,武汉-关山,12k-20k,经验3-5年 / 本科,移动互联网 / 成长型(B轮),“五险一金，周末双休，带薪年假，弹性工作制”,武汉,12,20, 本科, 成长型(B轮), 成长型,CZX,BK,ios
115,iOS开发工程师,成都-高新区,10k-20k,经验5-10年 / 本科,"移动互联网,电子商务 / 成熟型(C轮)",“新团队，成长快，机会多”,成都,10,20, 本科, 成熟型(C轮), 成熟型,CSX,BK,ios
116,iOS开发工程师,佛山-南海区,8k-13k,经验1-3年 / 大专,"移动互联网,电子商务 / 初创型(未融资)",“技能培训、五险、年终奖金 、员工旅游”,佛山,8,13, 大专, 初创型(未融资), 初创型,CCX,DZ,ios
117,iOS开发工程师,广州-珠江新…,8k-16k,经验3-5年 / 本科,移动互联网 / 成长型(A轮),“发展空间高，工作待遇好，飞速发展期！”,广州,8,16, 本科, 成长型(A轮), 成长型,CZX,BK,ios
118,iOS开发工程师,深圳,15k-25k,经验3-5年 / 本科,金融 / 成长型(A轮),“发展前景好+薪酬福利丰富+办公环境舒适”,深圳,15,25, 本科, 成长型(A轮), 成长型,CZX,BK,ios
119,iOS开发工程师,上海-交通大…,15k-23k,经验3-5年 / 本科,"移动互联网,电子商务 / 成熟型(C轮)",“加班少 福利好 妹子多 IPO电商公司”,上海,15,23, 本科, 成熟型(C轮), 成熟型,CSX,BK,ios
120,iOS开发工程师,南京-玄武区,12k-22k,经验3-5年 / 本科,"电子商务,旅游 / 上市公司",“五险一金、年终奖、免费班车、餐补”,南京,12,22, 本科, 上市公司, 上市公司,SHGS,BK,ios
121,iOS开发工程师,南京-玄武区,12k-20k,经验1-3年 / 本科,"移动互联网,数据服务 / 成长型(A轮)",“五险一金、原始股权、带薪年假、弹性工作”,南京,12,20, 本科, 成长型(A轮), 成长型,CZX,BK,ios
122,iOS Leader,杭州-仓前,20k-35k,经验3-5年 / 本科,"移动互联网,企业服务 / 上市公司",“上市公司，扁平化管理，技术极客云集！”,杭州,20,35, 本科, 上市公司, 上市公司,SHGS,BK,ios
123,iOS Leader,北京,30k-50k,经验5-10年 / 本科,"移动互联网,文化娱乐 / 成长型(B轮)",“提供早餐，加班晚餐，零食饮料、期权”,北京,30,50, 本科, 成长型(B轮), 成长型,CZX,BK,ios
124,iOS Leader,南京,14k-18k,经验3-5年 / 本科,"移动互联网,生活服务 / 初创型(天使轮)",“行业前景、职业发展、股票期权、工作氛围”,南京,14,18, 本科, 初创型(天使轮), 初创型,CCX,BK,ios
125,iOS Leader,石家庄-长丰,5k-8k,经验3-5年 / 本科,"电子商务,生活服务 / 初创型(未融资)",“五险一金，带薪年假；”,石家庄,5,8, 本科, 初创型(未融资), 初创型,CCX,BK,ios
